State,Agency type,Agency name,Agency unit,"Race/Ethnicity/Ancestry",Religion,"Sexual_orientation",Disability,Gender,"Gender_identity","1st
quarter","2nd
quarter","3rd
quarter","4th
quarter",Population1
,,Norwich,,3,0,1,0,0,0,0,1,2,1,"38,576"
,,Plymouth,,1,0,0,0,0,0,1,0,0,0,"11,529"
,,Rocky Hill,,1,0,1,0,0,0,0,1,1,0,"20,160"
,,Seymour,,1,0,1,0,0,0,0,2,0,0,"16,426"
,,Shelton,,2,0,0,0,0,0,0,1,0,1,"41,302"
,,Southington,,2,0,0,0,0,0,1,0,1,0,"43,906"
,,South Windsor,,0,0,1,0,0,0,0,0,1,0,"26,213"
,,Stamford,,5,1,2,0,0,0,1,3,3,1,"130,425"
,,Stonington,,1,1,0,0,0,0,1,0,1,0,"18,563"
,,Stratford,,1,0,0,0,0,0,0,0,0,1,"51,895"
,,Torrington,,1,0,0,0,0,0,0,1,0,0,"33,796"
,,Waterbury,,0,2,1,0,0,0,0,1,1,1,"107,263"
,,Waterford,,1,0,0,0,0,0,0,0,1,0,"18,664"
,,West Haven,,1,0,0,0,0,0,0,1,0,0,"54,516"
,,Westport,,0,0,0,1,0,0,0,0,0,1,"28,728"
,,Woodbridge,,0,1,0,0,0,0,0,0,1,0,"8,725"
,Universities and Colleges,,,1,1,0,0,0,0,,,,,
,,University of Connecticut,"Storrs, Avery Point, and Hartford3",1,0,0,0,0,0,0,0,0,1,
,,Yale University,,0,1,0,0,0,0,0,0,0,1,"14,389"
,State Police Agencies,,,1,2,0,0,0,0,,,,,
,,Connecticut State Police,,1,2,0,0,0,0,2,0,1,0,
Delaware,Total,,,7,2,4,0,0,0,,,,,
,Cities,,,2,0,2,0,0,0,,,,,
,,Newark,,1,0,0,0,0,0,0,1,0,0,"33,752"
,,Rehoboth Beach,,1,0,0,0,0,0,0,1,0,0,"1,573"
,,Wilmington,,0,0,2,0,0,0,0,0,2,0,"70,100"
,Universities and Colleges,,,1,1,2,0,0,0,,,,,
,,University of Delaware,,1,1,2,0,0,0,3,1,0,0,"25,885"
,Metropolitan Counties,,,1,0,0,0,0,0,,,,,
,,New Castle County Police Department,,1,0,0,0,0,0,0,1,0,0,
,State Police Agencies,,,3,1,0,0,0,0,,,,,
,,State Police:,New Castle County,1,0,0,0,0,0,0,0,1,0,
,,,Sussex County,2,1,0,0,0,0,1,2,0,0,
District of Columbia,Total,,,63,1,41,0,0,28,,,,,
,Cities,,,60,1,38,0,0,27,,,,,
,,Washington,,60,1,38,0,0,27,31,21,41,33,"712,816"
,Other Agencies,,,3,0,3,0,0,1,,,,,
,,Metro Transit Police,,3,0,3,0,0,1,4,0,1,2,
Florida,Total,,,65,20,22,0,0,2,,,,,
,Cities,,,47,13,16,0,0,2,,,,,
,,Boca Raton,,2,0,0,0,0,0,1,0,1,0,"101,583"
,,Chattahoochee,,1,0,1,0,0,0,0,0, ,2,"3,157"
,,Clearwater,,0,0,1,0,0,0,0,0,0,1,"117,859"
,,Deerfield Beach,,2,0,0,0,0,0,2,0,0,0,"81,749"
,,Doral,,1,0,0,0,0,0,0,0,0,1,"68,425"
,,Fort Lauderdale,,1,0,0,0,0,0,0,1,0,0,"184,347"
,,Fort Myers,,1,0,0,0,0,0,1,0,0, ,"90,380"
,,Fort Walton Beach,,1,0,0,0,0,0,0,1,0,0,"22,871"
,,Gainesville,,1,1,1,0,0,0,0,2,1, ,"135,076"
,,Hialeah,,1,0,1,0,0,0,1,1,0,0,"234,235"
,,Hollywood,,0,1,0,0,0,0,1,0,0,0,"156,434"
,,Homestead,,1,1,0,0,0,0, ,1, ,1,"70,538"
,,Jacksonville,,9,0,1,0,0,1,0,4,4,3,"920,508"
,,Jacksonville Beach,,1,0,0,0,0,0,0,0,1, ,"23,894"
,,Largo,,2,0,0,0,0,0,1,1, , ,"85,594"
,,Lauderdale Lakes,,1,0,0,0,0,0,0,1,0,0,"36,587"
,,Melbourne,,1,0,0,0,0,0,0,1,0,0,"83,806"
,,Miami Beach,,3,4,4,0,0,0,2,1,4,4,"89,017"
,,Miami Shores,,1,0,0,0,0,0,1,0,0,0,"10,358"
,,Milton,,1,0,0,0,0,0,0,0, ,1,"10,728"
,,New Port Richey,,2,0,0,0,0,0,0,1, ,1,"16,954"
,,New Smyrna Beach,,1,0,0,0,0,0,0,0,1, ,"28,380"
,,North Miami Beach,,0,2,0,0,0,0,0,1,1, ,"43,273"
,,Ocoee,,1,0,0,0,0,0,1,0,0,0,"49,877"
,,Orlando,,1,0,1,0,0,0,1,0, ,1,"293,363"
,,Palm Bay,,0,0,0,0,0,1,1,0,0,0,"116,897"
,,Palm Beach Gardens,,1,1,0,0,0,0,0,0,1,1,"58,629"
,,Pembroke Pines,,2,0,0,0,0,0,0,0,1,1,"175,757"
,,Pensacola,,1,0,0,0,0,0, ,1,0,0,"53,083"
,,Pinellas Park,,1,0,1,0,0,0,0,0,0,2,"54,114"
,,Port St. Lucie,,1,0,0,0,0,0,0,1, , ,"206,450"
,,Sarasota,,1,2,1,0,0,0,1,2,0,1,"59,002"
,,Southwest Ranches,,1,1,0,0,0,0,1,1,0, ,"8,025"
,,St. Pete Beach,,1,0,1,0,0,0,0,0,2,0,"9,616"
,,Tampa,,0,0,1,0,0,0,0,0,1,0,"407,350"
,,West Palm Beach,,2,0,2,0,0,0,0,1,3,0,"113,268"
,Universities and Colleges,,,2,0,1,0,0,0,,,,,
,,Pensacola State College,,2,0,0,0,0,0,1,1,0,0,"13,758"
,,Tallahassee Community College,,0,0,1,0,0,0,1,0,0,0,"16,760"
,Metropolitan Counties,,,15,7,5,0,0,0,,,,,
,,Alachua,,1,1,0,0,0,0,1,1,0,0,
,,Collier,,3,0,0,0,0,0,0,0,3, ,
,,Highlands,,0,0,1,0,0,0,0,1,0,0,
,,Lake,,1,0,0,0,0,0,0,1,0,0,
,,Lee,,2,0,0,0,0,0,0,0,2,0,
,,Marion,,1,1,0,0,0,0,1, ,1,0,
,,Martin,,1,0,0,0,0,0,0,0,1,0,
,,Miami-Dade,,1,1,1,0,0,0,1,1,1, ,
,,Orange,,1,1,0,0,0,0,1,0,1,0,
,,Pasco,,1,0,2,0,0,0,1,0,0,2,
,,Pinellas,,1,0,0,0,0,0,0,0,0,1,
,,Santa Rosa,,1,0,0,0,0,0,0,0,0,1,
,,Sarasota,,0,3,0,0,0,0,0,1,2, ,
,,St. Johns,,1,0,0,0,0,0,0,0,1,0,
,,Sumter,,0,0,1,0,0,0, , , ,1,
,Nonmetropolitan Counties,,,1,0,0,0,0,0,,,,,
,,Taylor,,1,0,0,0,0,0,1, , , ,
Georgia,Total,,,132,26,24,7,3,4,,,,,
,Cities,,,68,11,11,2,1,3,,,,,
,,Athens-Clarke County,,4,1,0,0,0,2,0,4,2,1,"128,152"
,,Atlanta,,3,0,1,0,0,0, , , ,4,"515,945"
,,Brookhaven,,3,1,0,0,0,0,0,2,0,2,"56,248"
,,Byron,,0,1,0,0,0,0,0,0,1,0,"5,304"
,,Cedartown,,3,0,0,0,0,0,1,1,1,0,"10,020"
,,College Park,,0,0,1,0,0,0,1,0,0,0,"15,204"
,,Dalton,,1,0,0,0,0,0, , , ,1,"33,723"
,,Decatur,,0,0,1,0,0,0,0,0,0,1,"26,473"
,,Demorest,,1,0,0,0,0,0,1,0, , ,"2,157"
,,Douglasville,,1,0,0,0,0,0,0,0,0,1,"34,409"
,,Dunwoody,,3,1,0,0,0,0,1,0,3,0,"49,687"
,,Eastman,,0,0,1,0,0,0,0,0,0,1,"5,018"
,,Forest Park,,1,0,1,0,0,0,0,0,0,2,"20,202"
,,Gainesville,,3,1,0,0,0,0,0,2,1,1,"44,398"
,,Hiram,,1,0,0,0,0,0,0,1,0,0,"4,301"
,,Johns Creek,,1,0,0,2,0,0,1,2,0,0,"85,408"
,,Marietta,,7,1,0,0,1,0,1,3,4,1,"61,348"
,,Milton,,0,0,1,0,0,0,1,0,0,0,"40,368"
,,Newington,,1,0,0,0,0,0,0,1,0,0,261
,,Newnan,,4,0,0,0,0,0,0,0,1,3,"42,658"
,,Peachtree City,,1,1,0,0,0,0,1,0,1,0,"36,421"
,,Pine Mountain,,1,0,0,0,0,0,1,0,0,0,"1,430"
,,Rockmart,,1,0,0,0,0,0,0,1,0,0,"4,458"
,,Rome,,5,0,0,0,0,0, ,0,2,3,"36,747"
,,Sandy Springs,,7,0,0,0,0,1,1,2,3,2,"111,219"
,,Smyrna,,5,2,2,0,0,0,5,1,0,3,"57,317"
,,South Fulton,,1,0,0,0,0,0,1,0,0,0,"100,658"
,,Sparta,,2,0,0,0,0,0,0,2,0,0,"1,213"
,,Suwanee,,0,1,0,0,0,0,0,0,1,0,"21,633"
,,Temple,,0,0,1,0,0,0,1,0,0,0,"4,832"
,,Thomasville,,2,0,1,0,0,0,1,0,1,1,"18,512"
,,Toccoa,,1,0,0,0,0,0,0,0,1,0,"8,312"
,,Villa Rica,,1,1,0,0,0,0,0,0,1,1,"16,296"
,,Warner Robins,,4,0,1,0,0,0,0,4,1,0,"78,508"
,Universities and Colleges,,,1,0,1,0,0,0,,,,,
,,Georgia Institute of Technology,,0,0,1,0,0,0,0,0,0,1,"38,951"
,,University of West Georgia,,1,0,0,0,0,0,1,0,0,0,"16,353"
,Metropolitan Counties,,,48,14,9,5,0,0,,,,,
,,Brooks,,1,0,0,0,0,0,0,0,1,0,
,,Catoosa,,3,0,0,0,0,0,0,1,2,0,
,,Cherokee,,2,0,1,0,0,0,0,2,0,1,
,,Clayton County Police Department,,3,0,2,0,0,0,1,1,1,2,
,,Cobb County Police Department2,,15,7,1,1,0,0,3,6,12,2,
,,Coweta,,2,0,0,0,0,0,0,1,1,0,
,,DeKalb County Police Department,,4,1,2,0,0,0,2,1,3,1,
,,Floyd County Police Department,,1,0,0,0,0,0,0,0,1,0,
,,Forsyth,,3,0,2,0,0,0,0,1,1,3,
,,Glynn County Police Department,,1,1,0,0,0,0,2,0,0,0,
,,Hall,,2,0,1,1,0,0,0,3,1,0,
,,Haralson,,1,0,0,0,0,0,0,0,0,1,
,,Henry County Police Department,,0,2,0,0,0,0,0,0,0,2,
,,Lee,,2,0,0,0,0,0,0,0,2,0,
,,Long,,1,0,0,0,0,0,0,0,0,1,
,,Lowndes,,0,1,0,0,0,0,0,0,0,1,
,,Madison,,0,0,0,1,0,0,0,0,0,1,
,,Oglethorpe,,1,0,0,0,0,0,1,0,0,0,
,,Paulding,,4,1,0,0,0,0,0,0,4,1,
,,Peach,,0,0,0,1,0,0,0,1,0,0,
,,Pickens,,0,1,0,0,0,0,0,1,0,0,
,,Walton,,0,0,0,1,0,0,0,0,1,0,
,,Whitfield,,2,0,0,0,0,0,2,0,0,0,
,Nonmetropolitan Counties,,,14,1,2,0,2,1,,,,,
,,Bulloch,,5,0,0,0,1,0,4,2,0, ,
,,Coffee,,0,0,1,0,0,0,0,1,0,0,
,,Decatur,,2,0,0,0,0,0,1,0,0,1,
,,Grady,,2,1,0,0,0,0,1,1,0,1,
,,Greene,,1,0,0,0,0,0,0,0,1,0,
,,Jackson,,1,0,0,0,0,0,0,0,1,0,
,,Lumpkin,,2,0,1,0,1,1,0,2,2,1,
,,Thomas,,1,0,0,0,0,0,0,0,1,0,
,Other Agencies,,,1,0,1,0,0,0,,,,,
,,Fulton County School System,,1,0,1,0,0,0,0,0,1,1,
Hawaii,Total,,,31,0,5,0,0,0,,,,,
,Cities,,,31,0,5,0,0,0,,,,,
,,Honolulu,,31,0,5,0,0,0,7,8,10,11,"966,438"
Idaho,Total,,,27,7,6,1,1,1,,,,,
,Cities,,,25,6,4,0,1,1,,,,,
,,Boise,,10,5,2,0,1,1,2,7,4,6,"231,223"
,,Chubbuck,,1,0,0,0,0,0,0,1,0,0,"15,773"
,,Coeur d'Alene,,5,0,0,0,0,0,0,2,2,1,"53,405"
,,Fruitland,,1,0,0,0,0,0,0,1,0,0,"5,505"
,,Jerome,,1,0,0,0,0,0,0,1,0,0,"12,120"
,,Ketchum,,1,0,0,0,0,0,1,0,0,0,"2,872"
,,Meridian,,2,0,0,0,0,0,1,0,1,0,"119,203"
,,Pocatello,,0,0,1,0,0,0,0,1,0,0,"56,900"
,,Rexburg,,1,0,0,0,0,0,0,0,0,1,"29,865"
,,Twin Falls,,3,1,1,0,0,0,0,2,1,2,"50,872"
,Metropolitan Counties,,,0,1,0,0,0,0,,,,,
,,Bonneville,,0,1,0,0,0,0,0,1,0,0,
,Nonmetropolitan Counties,,,2,0,2,1,0,0,,,,,
,,Fremont,,0,0,0,1,0,0,0,0,0,1,
,,Gooding,,1,0,1,0,0,0,0,1,1,0,
,,Lincoln,,0,0,1,0,0,0,1,0,0,0,
,,Teton,,1,0,0,0,0,0,0,1,0,0,
Illinois,Total,,,38,4,11,0,1,2,,,,,
,Cities,,,35,4,10,0,1,2,,,,,
,,Arlington Heights,,2,0,0,0,0,0,0, ,2,0,"74,706"
,,Aurora,,1,0,0,0,0,0, ,0,0,1,"197,709"
,,Bolingbrook,,1,0,0,0,0,0,1,0,0,0,"74,665"
,,Carlyle,,1,0,0,0,0,0,0,1,0,0,"3,174"
,,Centralia,,1,0,0,0,0,0,0,0,0,1,"12,123"
,,Chicago,,9,3,7,0,0,2,5,7,5,4,"2,693,598"
,,Crest Hill,,1,0,0,0,0,0,0,0,0,1,"20,328"
,,Darien,,1,0,0,0,0,0,1,0,0,0,"21,590"
,,Decatur,,1,0,0,0,0,0,0,1,0,0,"70,175"
,,Elgin,,0,1,0,0,0,0,1,0,0,0,"111,127"
,,Fairmont City,,1,0,0,0,0,0,0,1,0,0,"2,434"
,,Lombard,,1,0,0,0,0,0,0,1,0,0,"44,392"
,,New Lenox,,1,0,0,0,0,0,1,0,0,0,"27,230"
,,Palatine,,1,0,0,0,1,0,0,0,2, ,"67,358"
,,Peoria,,0,0,2,0,0,0,0,0,1,1,"109,924"
,,Plainfield,,4,0,0,0,0,0,1,1,2,0,"44,817"
,,Quincy,,1,0,0,0,0,0,0,1,0,0,"39,860"
,,Rockford,,1,0,1,0,0,0,0,0,1,1,"144,795"
,,Skokie,,1,0,0,0,0,0,0,1,0,0,"62,462"
,,Springfield,,2,0,0,0,0,0,1,0,1,0,"113,912"
,,Steger,,3,0,0,0,0,0,1,1,0,1,"9,184"
,,Winnetka,,1,0,0,0,0,0,0, ,1,0,"12,328"
,Metropolitan Counties,,,2,0,1,0,0,0,,,,,
,,McLean,,1,0,0,0,0,0,0,1,0,0,
,,Peoria,,0,0,1,0,0,0,0,0,1, ,
,,Sangamon,,1,0,0,0,0,0,0,1,0,0,
,Other Agencies,,,1,0,0,0,0,0,,,,,
,,Cook County Forest Preserve,,1,0,0,0,0,0,0,1,0,0,
Indiana,Total,,,124,34,23,2,2,4,,,,,
,Cities,,,109,27,21,1,2,1,,,,,
,,Angola,,1,0,0,0,2,0,0,2,1,0,"8,748"
,,Avon,,1,0,0,0,0,0,0,1,0,0,"19,377"
,,Bloomington,,4,0,0,0,0,0,2,0,0,2,"86,347"
,,Brownsburg,,2,0,0,0,0,0,0,0,2,0,"27,621"
,,Columbus,,3,0,2,0,0,0,1,3,1,0,"48,505"
,,Danville,,0,0,1,0,0,0,0,0,0,1,"10,247"
,,East Chicago,,1,0,0,0,0,0,1,0, , ,"27,616"
,,Edinburgh,,1,0,0,0,0,0,1,0,0,0,"4,603"
,,Evansville,,8,0,2,0,0,0, ,3,3,4,"117,747"
,,Fishers,,2,0,0,0,0,0,0,0,0,2,"97,481"
,,Fort Wayne,,5,1,2,0,0,0,0, ,0,8,"272,270"
,,Franklin2,,3,1,0,0,0,0,0,0,3,0,"25,825"
,,Goshen,,0,1,0,0,0,0,1,0,0,0,"34,409"
,,Greenfield,,1,0,0,0,0,0,0,0,1,0,"23,273"
,,Greenwood,,2,0,0,0,0,0, ,1,0,1,"60,460"
,,Hammond,,6,1,0,0,0,0, ,0,7,0,"74,966"
,,Hobart,,3,0,0,0,0,0,0,0,0,3,"27,791"
,,Huntington,,3,0,1,0,0,0,0,1,2,1,"17,096"
,,Indianapolis2,,18,0,6,0,0,0,4,7,8,4,"890,672"
,,Jeffersonville,,5,1,0,0,0,0,0,1,5, ,"48,467"
,,Kokomo,,0,3,0,0,0,0,2,0,0,1,"58,001"
,,Lafayette,,2,0,1,0,0,0,1,1,1, ,"72,040"
,,La Porte,,0,0,1,0,0,0,0,0,0,1,"21,515"
,,Lawrence2,,1,2,0,0,0,0,0,2,0,0,"49,865"
,,Lebanon,,2,0,0,0,0,0,0,1,1,0,"16,097"
,,McCordsville,,1,0,0,0,0,0,1,0,0,0,"7,801"
,,Michigan City,,2,1,0,0,0,0,1,0,2,0,"30,976"
,,Mishawaka,,0,1,0,0,0,0,1,0,0,0,"50,610"
,,Muncie,,1,0,0,0,0,0,0,1,0,0,"67,760"
,,Munster,,2,0,0,0,0,0,0,1,1,0,"22,357"
,,Noblesville,,2,0,0,0,0,0,0,0,1,1,"66,127"
,,Plainfield,,1,0,0,0,0,0,1,0,0,0,"36,239"
,,Schererville,,2,0,0,0,0,0,1,1,0, ,"28,454"
,,Seymour,,2,0,0,0,0,0,0,2,0,0,"20,171"
,,Shelbyville,,1,1,0,1,0,0, , ,1,2,"19,451"
,,South Bend,,11,2,2,0,0,1,4,6,4,2,"102,119"
,,Terre Haute,,4,12,2,0,0,0,0,10,5,3,"60,604"
,,Warsaw,,1,0,1,0,0,0,1,1,0,0,"15,319"
,,Washington,,1,0,0,0,0,0,0,0,0,1,"12,612"
,,Westfield,,4,0,0,0,0,0,0,0,3,1,"45,469"
,Universities and Colleges,,,2,0,1,0,0,0,,,,,
,,Indiana University,South Bend,2,0,0,0,0,0,2,0,0,0,"6,168"
,,Purdue University,,0,0,1,0,0,0, , ,1, ,"47,412"
,Metropolitan Counties,,,7,2,1,1,0,1,,,,,
,,Hendricks,,1,1,0,0,0,0,0,0,2,0,
,,Johnson,,0,0,0,1,0,0,0,1,0,0,
,,Lake,,1,0,0,0,0,0,1,0,0,0,
,,Monroe,,3,0,1,0,0,0,1,1,2,0,
,,St. Joseph,,0,1,0,0,0,0,1,0,0,0,
,,Vanderburgh,,1,0,0,0,0,0, ,0,1,0,
,,Vigo,,1,0,0,0,0,1,1,0,1,0,
,Nonmetropolitan Counties,,,1,0,0,0,0,1,,,,,
,,Greene,,1,0,0,0,0,0,1,0,0,0,
,,Steuben,,0,0,0,0,0,1,1,0,0,0,
,State Police Agencies,,,5,3,0,0,0,0,,,,,
,,Indiana State Police,,5,3,0,0,0,0,2,2,3,1,
,Other Agencies,,,0,2,0,0,0,1,,,,,
,,Indiana Gaming Commission,,0,2,0,0,0,1,1,0,2,0,
Iowa,Total,,,12,0,3,0,0,0,,,,,
,Cities,,,9,0,3,0,0,0,,,,,
,,Adel,,1,0,0,0,0,0,0,0,1,0,"5,696"
,,Ames,,2,0,1,0,0,0,2,1,0,0,"67,109"
,,Davenport,,1,0,0,0,0,0,0,0,1,0,"101,806"
,,Dubuque,,0,0,1,0,0,0,1,0,0,0,"57,904"
,,Indianola,,0,0,1,0,0,0,0,0,0,1,"16,154"
,,Iowa City,,3,0,0,0,0,0,0,1,2,0,"75,964"
,,Marion,,1,0,0,0,0,0,0,1,0,0,"40,968"
,,Waterloo,,1,0,0,0,0,0,0,0,1,0,"67,200"
,Universities and Colleges,,,2,0,0,0,0,0,,,,,
,,Iowa State University,,2,0,0,0,0,0,1,0,1,0,"37,944"
,Nonmetropolitan Counties,,,1,0,0,0,0,0,,,,,
,,Marshall,,1,0,0,0,0,0,1,0,0,0,
Kansas,Total,,,85,28,8,0,3,0,,,,,
,Cities,,,62,19,6,0,0,0,,,,,
,,Atchison,,1,0,0,0,0,0,0,1,0,0,"10,421"
,,Augusta,,0,0,1,0,0,0,1,0,0,0,"9,339"
,,Bel Aire,,2,0,0,0,0,0,0,1,1,0,"8,490"
,,Belleville,,1,0,0,0,0,0,0,0,0,1,"1,869"
,,Beloit,,0,0,1,0,0,0,0,0,0,1,"3,604"
,,Burlington,,0,1,0,0,0,0,0,0,0,1,"2,530"
,,Clay Center,,16,2,0,0,0,0,3,15,0,0,"3,944"
,,Coffeyville,,1,1,0,0,0,0,1,0,1,0,"9,171"
,,Colby,,2,0,0,0,0,0,1,1,0,0,"5,365"
,,Concordia,,1,1,0,0,0,0,0,1,0,1,"4,944"
,,Derby,,1,0,0,0,0,0,0,0,1,0,"25,229"
,,Dodge City,,3,0,0,0,0,0,1,1,0,1,"27,066"
,,Edwardsville,,1,0,0,0,0,0,0,1,0,0,"4,503"
,,El Dorado,,1,0,0,0,0,0,1,0,0,0,"12,924"
,,Garden City,,0,1,0,0,0,0,0,0,1,0,"26,360"
,,Goodland,,0,1,0,0,0,0,0,1,0,0,"4,397"
,,Hays,,1,0,0,0,0,0,0,1,0,0,"20,769"
,,Hiawatha,,0,2,0,0,0,0,0,1,1,0,"3,103"
,,Independence,,0,0,1,0,0,0,0,0,0,1,"8,405"
,,Junction City,,2,1,0,0,0,0,0,1,0,2,"21,242"
,,Larned,,0,1,0,0,0,0,0,0,1,0,"3,632"
,,Leavenworth,,3,2,1,0,0,0,0,4,1,1,"36,023"
,,Leon,,1,0,0,0,0,0,0,0,1,0,732
,,McPherson,,1,0,0,0,0,0,1,0,0,0,"13,053"
,,Newton,,4,1,0,0,0,0,2,2,1,0,"18,830"
,,Olathe,,1,1,0,0,0,0,0,1,1,0,"142,228"
,,Overland Park,,5,0,0,0,0,0,0,3,1,1,"198,036"
,,Pittsburg,,2,0,0,0,0,0,0,0,1,1,"20,027"
,,Russell,,0,0,1,0,0,0,0,0,1,0,"4,412"
,,Salina,,2,1,1,0,0,0,0,1,2,1,"46,400"
,,Shawnee,,3,0,0,0,0,0,0,1,0,2,"66,208"
,,Spring Hill,,0,1,0,0,0,0,0,0,0,1,"7,572"
,,Topeka,,1,0,0,0,0,0,0, ,1, ,"125,024"
,,Wellington,,0,1,0,0,0,0,0,0,1,0,"7,608"
,,Wichita,,6,1,0,0,0,0,0,3,3,1,"390,746"
,Universities and Colleges,,,3,0,0,0,0,0,,,,,
,,Fort Hays State University,,1,0,0,0,0,0,0,0,0,1,"18,343"
,,Kansas State University,,1,0,0,0,0,0,0,0,0,1,"24,546"
,,University of Kansas,Medical Center3,1,0,0,0,0,0,0,0,0,1,
,Metropolitan Counties,,,10,3,1,0,1,0,,,,,
,,Jefferson,,0,2,0,0,0,0,1,0,1,0,
,,Leavenworth,,1,0,1,0,0,0,0,2,0,0,
,,Pottawatomie,,1,0,0,0,0,0,0,0,1,0,
,,Riley County Police Department,,5,1,0,0,0,0,0,2,4,0,
,,Sedgwick,,1,0,0,0,1,0,1,1,0,0,
,,Shawnee,,2,0,0,0,0,0,0,2,0,0,
,Nonmetropolitan Counties,,,10,3,0,0,2,0,,,,,
,,Anderson,,1,0,0,0,0,0,0,0,1,0,
,,Barton,,0,1,0,0,0,0,0,0,0,1,
,,Cherokee,,1,0,0,0,0,0,1,0,0,0,
,,Gray,,1,0,0,0,0,0,0,0,1,0,
,,Kingman,,1,0,0,0,0,0,1,0,0,0,
,,Lyon,,1,0,0,0,0,0,0,1,0, ,
,,Marion,,0,1,0,0,0,0,1,0,0,0,
,,Marshall,,1,0,0,0,0,0,0,0,1,0,
,,McPherson,,1,0,0,0,0,0,0,1,0,0,
,,Montgomery,,1,1,0,0,0,0,0,0,1,1,
,,Rawlins,,0,0,0,0,1,0,0,1,0, ,
,,Rush,,0,0,0,0,1,0,0,0,1,0,
,,Russell,,1,0,0,0,0,0,1,0,0,0,
,,Saline,,1,0,0,0,0,0,0,0,1,0,
,State Police Agencies,,,0,1,0,0,0,0,,,,,
,,Highway Patrol,Troop F,0,1,0,0,0,0,1,0,0,0,
,Tribal Agencies,,,0,0,1,0,0,0,,,,,
,,Potawatomi Tribal,,0,0,1,0,0,0,0,0,0,1,
,Other Agencies,,,0,2,0,0,0,0,,,,,
,,Reno County Drug Enforcement Unit,,0,2,0,0,0,0,2,0, , ,
Kentucky,Total,,,134,18,18,1,2,3,,,,,
,Cities,,,99,14,14,0,2,3,,,,,
,,Ashland,,3,0,0,0,0,0,0,2,1,0,"19,979"
,,Bellevue,,1,0,0,0,0,0,0,1,0,0,"5,695"
,,Berea,,2,0,0,0,0,0,0,0,1,1,"16,311"
,,Bowling Green2,,3,2,0,0,0,0,2,0,1,1,"71,861"
,,Covington,,1,0,1,0,0,1,1,0,1,1,"40,324"
,,Cynthiana,,3,0,0,0,0,0,1,2,0,0,"6,329"
,,Dayton,,1,0,0,0,0,0,1,0,0,0,"5,639"
,,Eminence,,1,0,0,0,0,0,0,0,1,0,"2,591"
,,Falmouth,,1,0,0,0,0,0,0,0,1,0,"2,091"
,,Florence,,1,0,0,0,0,0,0,0,0,1,"33,397"
,,Frankfort,,1,0,0,0,0,0,1,0,0,0,"27,803"
,,Glasgow,,1,0,0,0,0,0,0,0,1,0,"14,537"
,,Grayson,,1,0,0,0,0,0,0,0,1,0,"3,870"
,,Hopkinsville,,2,0,0,0,0,0,1,0,0,1,"30,532"
,,Independence,,0,0,1,0,0,0,0,0,1,0,"28,957"
,,Indian Hills,,1,0,0,0,0,0,1,0,0,0,"2,978"
,,Jeffersontown,,1,0,0,0,0,0,0,0,0,1,"27,700"
,,La Grange,,1,0,1,0,0,0,0,1,1,0,"9,142"
,,Leitchfield,,1,0,0,0,0,0,0,0,1,0,"6,880"
,,Lexington2,,18,5,6,0,0,2,5,7,11,5,"325,851"
,,Louisville Metro,,27,2,3,0,0,0,3,12,9,8,"673,730"
,,Marion,,1,0,0,0,0,0,0,0,0,1,"2,821"
,,Maysville,,0,0,1,0,0,0,0,1,0,0,"8,695"
,,Middlesboro,,1,0,0,0,0,0,0,0,1,0,"8,968"
,,Morehead,,1,0,0,0,0,0,0,0,1,0,"7,644"
,,Murray,,4,0,0,0,0,0,0,3,1,0,"19,499"
,,Newport,,3,0,0,0,0,0,0,2,1,0,"14,874"
,,Owensboro,,4,1,0,0,0,0,0,2,2,1,"60,430"
,,Paducah2,,3,1,1,0,1,0,1,2,0,1,"24,850"
,,Paris,,1,0,0,0,0,0,0,0,1,0,"9,655"
,,Radcliff,,2,0,0,0,0,0,0,2,0,0,"22,950"
,,Richmond2,,1,1,0,0,1,0,1,0,1,0,"36,691"
,,Russell Springs,,2,0,0,0,0,0,0,1,1,0,"2,661"
,,Scottsville,,1,1,0,0,0,0,1,0,0,1,"4,576"
,,Shively,,1,0,0,0,0,0,0,1,0,0,"15,735"
,,St. Matthews,,1,1,0,0,0,0,0,0,2,0,"18,162"
,,Warsaw,,1,0,0,0,0,0,0,0,1,0,"1,705"
,,Winchester,,1,0,0,0,0,0,0,0,0,1,"18,570"
,Universities and Colleges,,,6,0,1,0,0,0,,,,,
,,University of Kentucky,,1,0,0,0,0,0,0,0,1,0,"30,981"
,,University of Louisville,,4,0,0,0,0,0,1,0,3,0,"24,770"
,,Western Kentucky University2,,1,0,1,0,0,0,0,0,1,0,"23,228"
,Metropolitan Counties,,,9,1,3,1,0,0,,,,,
,,Boone2,,4,1,1,0,0,0,0,1,1,3,
,,Bullitt,,1,0,0,0,0,0,0,0,1,0,
,,Campbell County Police Department,,1,0,0,0,0,0,0,0,0,1,
,,Carter,,1,0,0,0,0,0,1,0,0,0,
,,Jessamine,,1,0,0,0,0,0,0,0,0,1,
,,Kenton County Police Department,,0,0,0,1,0,0,0,0,1,0,
,,Oldham County Police Department2,,1,0,1,0,0,0,0,1,0,0,
,,Warren,,0,0,1,0,0,0,0,1,0,0,
,Nonmetropolitan Counties,,,14,3,0,0,0,0,,,,,
,,Barren,,1,0,0,0,0,0,0,1,0,0,
,,Bell,,0,1,0,0,0,0,0,1,0,0,
,,Carroll,,1,0,0,0,0,0,0,0,1,0,
